Hugo_Symbol	OMIM	cell cycle checkpoint	HR	DSB	DNA replication	DSBR	MMR	DNA repair	MMR_4genes	cell cycle	response to DNA damage stimulus	BER	NER	OncoKB Oncogene	OncoKB TSG	mechanism
RAD51D	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RAD51C	1	0	0	0	0	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
RAD51B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
LATS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
IL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
GNAS	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
EZH2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
RHEB	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PPP2R1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
WT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BIRC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
BMPR1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MAP2K1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
TOP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
MAP2K4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
YES1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ANKRD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
MAPKAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
TERT	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MALT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
KMT2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
KMT2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
KMT2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
SMARCB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
KMT2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
SPOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MSI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MSI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ZRSR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
TP53BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
EPCAM	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
INPPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
INSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
PIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
CASP8	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
BCL6	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
BCL2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
BCL2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PLK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
AKT1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
AKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
AKT3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
NKX2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SESN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
EIF1AX	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NTRK1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
INPP4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
NTRK3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PTP4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MYC	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
AURKB	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
NUF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NEGR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SMAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
PMS1	0	0	0	0	0	0	1	1	0	1	1	0	0	0.0	1.0	loss-of-function
PMS2	1	0	0	0	0	0	1	0	1	0	0	0	0	0.0	0.0	loss-of-function
LYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
KRAS	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
SOCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MST1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
XIAP	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
GSK3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
EGFL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
FAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
KDM5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
KDM5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
HLA-B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
HLA-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
NFKBIA	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
EED	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
PREX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ASXL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
FAM175A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
ASXL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PIK3R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PIK3R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
PIK3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PTPRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
MYD88	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
STAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RNF43	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
HIST1H2BD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
DCUN1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RECQL	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	
RAD21	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
RHOA	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
FGF4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FGF3	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
ETV1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
PRDM14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ETV6	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MPL	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
TNFAIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
AGO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RFWD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
EPHA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
EPHA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
EPHA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MUTYH	1	0	0	0	0	0	1	1	0	1	1	1	0	0.0	0.0	loss-of-function
ABL1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
IKZF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
NCOR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
TP63	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
DROSHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BCL10	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MAPK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
FGF19	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MAPK1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
KDM6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
NBN	1	1	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
DUSP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PDCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
PTPRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
ICOSLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
BCOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
HIST1H1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
DICER1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
SOS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
WWTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ID3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
STAT5B	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
STAT5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
NKX3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
CIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MYCL1	0	0	0	0	0	0	0	0	0	0	0	0	0			
ACVR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CDKN2Ap16INK4A	0	0	0	0	0	0	0	0	0	0	0	0	0			
VHL	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
LATS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
ELF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RAB35	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BCL2L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
NRAS	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MLH1	1	0	0	0	0	0	1	1	1	1	1	0	0	0.0	1.0	loss-of-function
GLI1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
RAD51	1	0	1	0	0	0	0	1	0	0	1	0	0	1.0	0.0	gain-of-function
DNMT3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
NF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
TRAF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
DNMT3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RRAGC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
TRAF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
TMPRSS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
AR	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
RTEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NPM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
RASA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
DIS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
PTPRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
GRIN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
BRAF	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
GNA11	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SDHA	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PDPK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SDHC	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
SDHB	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
SDHD	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PRKAR1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
